District,Sub-District,Estate,Total po...Total population,Sex ratio,< 15,15 - 39,40 - 64,65+,Male,Female,Both sexes,Never-ma...Never-married male,Never-ma...Never-married female,Cantonese,Putonghu...Putonghua and other Chinese dialects,English ...English and other languages,Hong Kong,The main...The mainland of China/ Macao/ Taiwan,Elsewhere,Primary ...Primary and below,Secondary,Post-sec...Post-secondary,Studying...Studying and living  in the same District Council district,Mass Tra...Mass Transit Railway,On foot only,Bus,School b...School bus/ school private light bus,Others,Working ...Working population,Employees,Employers,Self-emp...Self-employed and unpaid family workers,Non-work...Non-working population,Students,Non-students,Managers...Managers and administrators,Professi...Professionals and associate professionals,"Clerical...Clerical support, service and sales workers","Craft an...Craft and related workers, plant and machine operators and assemblers","Elementa...Elementary occupations , skilled agricultural and fishery workers and occupations not classifiable","Import/e...Import/export, wholesale and retail trades, accommodation and food services","Transpor...Transportation, storage, postal and courier services, information and communications, financing and insurance, real estate, professional and business services","Public a...Public administration, education, human health and social work activities, miscellaneous social and personal services","Manufact...Manufacturing, construction, and other industries",Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Working ...Working and living in the same District Council district(including those working at home)^,Mass Tra...Mass Transit Railway,Bus,On foot only,Public l...Public light bus,Others,Number o...Number of domestic households,1-3,4,5+,Average ...Average domestic household size,Nuclear ...Nuclear family households,Relative...Relative households,Other ho...Other households,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Median age,Chinese,Non-Chinese,1-2,3,4,5+,Without ...Without exclusively used rooms,Per dome...Per domestic household,Per person,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,"Owner-oc...Owner-occupier, with mortgage payment or loan repayment","Owner-oc...Owner-occupier, without mortgage payment and loan repayment",Sole tenant,Others ,Median m...Median monthly mortgage payment and loan repayment,Median m...Median mortgage payment and loan repayment to income ratio,Median o...Median outstanding period of mortgage payment or loan repayment,Median m...Median monthly household rent,Median h...Median household rent to income ratio,Remained...Remained in same address,Resided ...Resided in same District Council district (having migrated),Resided ...Resided in different District Council district (having migrated) ,Resided ...Resided outside Hong Kong
Kowloon City,Kai Tak New Area,(Kai Tak New Area) Tak Long Estate - Tak Loong House (Shing Kai Road 2000's residential buildings)                                                                                                                                                            ,1909,726,11.3%,34.1%,42.4%,12.2%,47.4,40.7,42.6,25.1%,31.0%,89.0%,11.0%,0.0%,45.3%,53.7%,1.0%,26.7%,53.4%,20.0%,15.9%,21.7%,24.0%,46.1%,4.7%,3.5%,970,93.1%,2.1%,4.8%,939,29.1%,70.9%,0.0%,17.6%,47.6%,12.8%,22.0%,24.2%,36.4%,24.4%,14.9%,HK$15000,HK$12750,HK$8250,HK$15000,HK$12750,HK$8250,50hours,42hours,35hours,50hours,42hours,35hours,17.1%,43.3%,43.1%,3.0%,3.7%,6.9%,(N.A.)–Not available,92.6%,6.4%,1.1%,2.2,63.9%,11.9%,24.2%,HK$21800,HK$13000,HK$8120,HK$21800,HK$13000,HK$8120,53.6,100.0%,0.0%,70.0%,27.7%,2.2%,0.0%,0.0%,2.00rooms,0.91rooms,30m²,22m²,22m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1550,10.1%,0.0%,10.7%,88.0%,1.4%
Kowloon City,Kai Tak New Area,(Kai Tak New Area) Kai Ching Estate - Sheung Ching House (Muk Hung Street 2000's residential buildings)                                                                                                                                                       ,2015,799,14.8%,28.0%,47.6%,9.6%,44.7,44.1,44.2,29.8%,19.4%,92.0%,4.4%,3.6%,38.0%,56.6%,5.4%,22.5%,58.8%,18.8%,19.2%,23.9%,26.2%,32.7%,8.5%,8.7%,931,93.3%,2.1%,4.5%,1084,30.9%,69.1%,1.0%,9.6%,39.6%,18.6%,31.3%,30.2%,35.2%,14.3%,20.3%,HK$12800,HK$10250,HK$9000,HK$13000,HK$10250,HK$9000,54hours,47hours,40hours,54hours,46hours,40hours,24.4%,26.2%,57.5%,7.1%,4.9%,4.2%,(N.A.)–Not available,93.2%,2.5%,4.3%,2.1,55.5%,13.9%,30.6%,HK$17410,HK$11370,HK$8980,HK$17000,HK$11370,HK$8980,52.2,95.0%,5.0%,71.9%,27.0%,1.1%,0.0%,0.0%,1.87rooms,0.87rooms,30m²,22m²,14m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1500,11.2%,0.0%,11.8%,85.1%,3.2%
Kowloon City,Kai Tak New Area,(Kai Tak New Area) Kai Ching Estate - Mun Ching House (Muk Hung Street 2000's residential buildings)                                                                                                                                                          ,1953,1232,13.1%,25.6%,48.5%,12.8%,45.5,46.1,45.8,32.6%,19.0%,84.9%,13.8%,1.2%,43.9%,55.5%,0.6%,18.8%,66.2%,15.0%,31.7%,15.4%,12.1%,50.0%,7.2%,15.4%,901,91.9%,1.1%,7.0%,1052,29.1%,70.9%,3.0%,15.9%,39.6%,11.8%,29.7%,33.6%,29.6%,23.1%,13.7%,HK$16500,HK$12000,HK$10000,HK$16500,HK$12000,HK$10000,54hours,48hours,40hours,54hours,48hours,40hours,18.0%,22.5%,52.9%,2.7%,9.2%,12.8%,(N.A.)–Not available,94.9%,4.1%,1.0%,2.0,47.2%,15.9%,36.9%,HK$21250,HK$14000,HK$9500,HK$21250,HK$14000,HK$9500,53.0,100.0%,0.0%,67.7%,31.3%,0.9%,0.0%,0.0%,1.93rooms,0.94rooms,30m²,22m²,14m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1510,10.0%,0.0%,21.2%,76.5%,2.4%
Kowloon City,Kai Tak New Area,(Kai Tak New Area) Kai Ching Estate - Yuet Ching House (Muk Hung Street 2000's residential buildings)                                                                                                                                                         ,1739,1032,14.1%,36.6%,37.3%,12.0%,36.0,44.0,39.6,40.4%,24.3%,99.1%,0.9%,0.0%,49.6%,48.6%,1.8%,21.8%,62.4%,15.8%,25.5%,29.9%,21.7%,36.1%,0.0%,12.3%,731,86.5%,0.0%,13.5%,1008,31.8%,68.2%,0.0%,12.9%,47.5%,24.5%,15.2%,36.9%,22.8%,17.2%,23.0%,HK$15500,HK$13000,HK$9750,HK$15500,HK$13000,HK$9750,60hours,49hours,43hours,60hours,49hours,43hours,15.7%,34.8%,42.2%,10.6%,3.6%,8.8%,(N.A.)–Not available,68.6%,19.2%,12.2%,2.8,69.6%,14.1%,16.3%,HK$24000,HK$18150,HK$10250,HK$24000,HK$18150,HK$10250,51.9,100.0%,0.0%,50.6%,44.7%,1.6%,3.1%,0.0%,2.30rooms,0.83rooms,38m²,22m²,22m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1750,9.8%,0.0%,9.1%,87.6%,3.3%
Kowloon City,Kai Tak New Area,(Kai Tak New Area) Kai Ching Estate - Yan Ching House (Muk Hung Street 2000's residential buildings)                                                                                                                                                          ,1637,895,13.0%,26.6%,46.4%,14.0%,49.8,47.5,49.1,30.4%,31.1%,83.9%,16.1%,0.0%,44.3%,55.2%,0.5%,19.2%,67.6%,13.3%,21.7%,27.7%,21.7%,41.7%,2.4%,6.5%,762,90.3%,0.0%,9.7%,875,34.7%,65.3%,1.0%,10.4%,30.4%,23.2%,34.9%,35.3%,34.6%,9.4%,20.6%,HK$13000,HK$10250,HK$9000,HK$13000,HK$10250,HK$9000,54hours,45hours,40hours,54hours,45hours,40hours,10.0%,39.6%,32.5%,6.6%,9.4%,12.0%,(N.A.)–Not available,93.8%,3.5%,2.7%,2.0,45.1%,8.9%,46.0%,HK$19800,HK$13220,HK$7500,HK$19800,HK$13220,HK$7500,57.0,100.0%,0.0%,60.7%,36.6%,2.7%,0.0%,0.0%,2.01rooms,0.99rooms,30m²,22m²,14m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1710,10.3%,0.0%,12.1%,86.3%,1.6%
Kowloon City,Kai Tak New Area,(Kai Tak New Area) Kai Ching Estate - Lok Ching House (Muk Hung Street 2000's residential buildings)                                                                                                                                                          ,2293,945,10.7%,33.1%,46.3%,9.9%,44.8,42.5,43.2,34.3%,27.5%,86.3%,13.7%,0.0%,42.0%,56.6%,1.4%,16.4%,63.7%,20.0%,16.7%,37.4%,17.5%,39.2%,2.2%,3.8%,1134,95.7%,0.9%,3.4%,1159,39.9%,60.1%,3.4%,11.2%,40.6%,16.1%,28.7%,33.1%,31.3%,15.5%,20.1%,HK$14500,HK$11000,HK$9000,HK$14500,HK$11000,HK$9000,54hours,45hours,40hours,54hours,45hours,40hours,16.3%,31.1%,45.4%,6.3%,9.5%,7.7%,(N.A.)–Not available,82.7%,11.7%,5.6%,2.4,56.5%,14.7%,28.8%,HK$24000,HK$15150,HK$10550,HK$24000,HK$15150,HK$10550,51.2,99.0%,1.0%,57.7%,33.7%,7.3%,1.3%,0.0%,2.25rooms,0.93rooms,30m²,22m²,14m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1830,9.7%,0.0%,15.0%,79.0%,6.0%
Kowloon City,Kai Tak New Area,(Kai Tak New Area) Kai Ching Estate - Hong Ching House (Muk Hung Street 2000's residential buildings)                                                                                                                                                         ,2323,1069,10.1%,31.7%,47.1%,11.1%,46.0,43.7,44.5,38.5%,24.4%,86.9%,13.1%,0.0%,37.7%,59.8%,2.6%,21.9%,56.9%,21.2%,25.8%,29.2%,7.9%,50.1%,7.7%,5.1%,1177,93.9%,1.7%,4.4%,1146,36.9%,63.1%,2.6%,9.5%,33.1%,22.1%,32.7%,27.2%,29.5%,12.2%,31.1%,HK$15000,HK$11000,HK$9000,HK$15000,HK$11000,HK$9000,54hours,45hours,40hours,54hours,45hours,40hours,11.0%,33.9%,50.0%,1.6%,7.9%,6.6%,(N.A.)–Not available,79.4%,19.5%,1.1%,2.5,67.7%,10.1%,22.2%,HK$23210,HK$15310,HK$10250,HK$23210,HK$15310,HK$10250,51.9,100.0%,0.0%,58.4%,37.0%,4.5%,0.0%,0.0%,2.15rooms,0.87rooms,30m²,30m²,22m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1530,10.0%,0.0%,13.5%,79.0%,7.5%
Wong Tai Sin,Lok Fu,(Lok Fu) Ka Keung Court (Fu Mei Street 1990's-2000's)                                                                                                                                                                                                         ,1609,927,7.4%,30.2%,44.8%,17.6%,40.8,51.9,49.5,40.7%,15.6%,97.1%,1.9%,1.0%,73.2%,21.4%,5.4%,14.0%,49.8%,36.2%,61.3%,30.1%,50.9%,10.4%,8.7%,0.0%,864,86.7%,1.9%,11.5%,745,24.6%,75.4%,2.9%,51.3%,30.1%,12.0%,3.7%,28.4%,31.9%,20.7%,19.0%,HK$25000,HK$18500,HK$13500,HK$25000,HK$18500,HK$13500,50hours,44hours,40hours,50hours,44hours,40hours,15.8%,71.2%,15.8%,0.0%,6.8%,6.2%,(N.A.)–Not available,79.6%,15.6%,4.8%,2.6,59.5%,22.9%,17.6%,HK$42000,HK$31000,HK$15000,HK$42000,HK$31000,HK$15000,54.4,97.7%,2.3%,7.6%,54.0%,26.4%,12.0%,0.0%,3.45rooms,1.31rooms,54m²,38m²,38m²,29.2%,68.3%,2.5%,0.0%,HK$5000,12.3%,7years,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,97.3%,0.0%,0.0%,2.7%
Wong Tai Sin,Lok Fu,(Lok Fu) Tak Keung Court - Tak Wah House / Tak Yin House (Fung Shing Street 2000's)                                                                                                                                                                           ,1973,837,12.5%,26.1%,46.3%,15.2%,44.4,45.6,45.0,31.3%,27.6%,95.3%,1.5%,3.2%,68.7%,25.9%,5.4%,16.2%,40.6%,43.2%,29.5%,31.1%,30.4%,19.3%,12.7%,6.5%,978,92.2%,2.0%,5.7%,995,31.4%,68.6%,11.7%,33.7%,34.3%,4.1%,16.3%,27.5%,35.2%,30.2%,7.2%,HK$30000,HK$17000,HK$10250,HK$33750,HK$17900,HK$13600,50hours,45hours,40hours,49hours,44hours,40hours,19.6%,70.1%,9.2%,3.7%,6.5%,10.4%,(N.A.)–Not available,64.2%,26.4%,9.4%,2.8,55.5%,19.5%,25.0%,HK$45490,HK$33750,HK$19000,HK$45000,HK$32000,HK$18000,49.4,100.0%,0.0%,0.0%,38.6%,39.3%,22.1%,0.0%,3.89rooms,1.37rooms,53m²,53m²,38m²,37.9%,58.1%,0.0%,4.0%,HK$5400,16.9%,9years,(N.A.)–Not available,(N.A.)–Not available,84.9%,7.2%,7.9%,0.0%
Wong Tai Sin,Lok Fu,(Lok Fu) Fu Keung Court - Fu Hong / Fu Ling House (Fu Mei Street 1990's)                                                                                                                                                                                      ,1185,899,8.5%,30.8%,41.1%,19.6%,53.3,46.5,47.0,33.5%,25.5%,98.6%,0.0%,1.4%,67.6%,24.8%,7.6%,18.6%,41.2%,40.1%,47.1%,39.7%,45.5%,0.0%,0.0%,14.9%,581,90.9%,0.0%,9.1%,604,25.0%,75.0%,0.0%,40.6%,36.8%,9.0%,13.6%,21.5%,22.7%,35.1%,20.7%,HK$30000,HK$15000,HK$11250,HK$30000,HK$15000,HK$12000,54hours,44hours,40hours,49hours,44hours,40hours,15.5%,60.1%,15.4%,3.7%,9.9%,11.0%,(N.A.)–Not available,76.8%,18.3%,4.9%,2.8,61.1%,24.8%,14.1%,HK$42000,HK$32310,HK$7800,HK$42000,HK$32310,HK$7800,57.8,96.9%,3.1%,3.5%,37.9%,27.4%,31.1%,0.0%,3.86rooms,1.39rooms,54m²,37m²,37m²,24.4%,75.6%,0.0%,0.0%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(N.A.)–Not available,(N.A.)–Not available,87.0%,4.7%,8.3%,0.0%
Wong Tai Sin,Lok Fu,(Lok Fu) Fu Keung Court - Fu Wo / Fu Yat / Fu Nga / Fu Yue House (Fu Mei Street / Junction Road 1990's)                                                                                                                                                       ,2662,903,7.4%,31.6%,47.2%,13.7%,44.5,46.6,46.1,30.1%,24.8%,95.4%,2.9%,1.7%,72.1%,25.2%,2.7%,11.2%,51.6%,37.1%,31.8%,50.9%,23.1%,13.6%,0.0%,12.3%,1521,90.9%,2.1%,7.0%,1141,25.1%,74.9%,8.9%,37.5%,32.9%,6.4%,14.3%,19.5%,42.2%,28.1%,10.3%,HK$20000,HK$17500,HK$12000,HK$20000,HK$17500,HK$12000,48hours,44hours,39hours,48hours,44hours,39hours,7.3%,68.6%,16.2%,1.5%,4.7%,9.1%,(N.A.)–Not available,73.6%,17.2%,9.2%,2.9,64.6%,27.2%,8.2%,HK$44000,HK$33000,HK$18000,HK$44000,HK$33000,HK$18000,54.0,98.5%,1.5%,6.8%,39.5%,33.8%,20.0%,0.0%,3.69rooms,1.28rooms,54m²,54m²,37m²,21.3%,72.3%,1.6%,4.9%,HK$5600,19.7%,19years,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,89.9%,2.4%,5.8%,2.0%
Wong Tai Sin,Lok Fu,(Lok Fu) Luen Hop Building / Kam Kwok Building / Hong Keung Court (Junction Road / Heng Lam Street 1960's-1990's)                                                                                                                                             ,2330,870,9.2%,31.1%,41.8%,17.9%,42.8,46.7,45.9,36.1%,26.6%,94.7%,2.7%,2.7%,70.0%,25.5%,4.5%,17.9%,44.0%,38.1%,33.4%,46.9%,17.6%,15.3%,10.6%,9.6%,1070,90.7%,0.8%,8.5%,1260,29.1%,70.9%,6.8%,31.5%,39.0%,6.6%,16.1%,23.8%,27.1%,35.7%,13.4%,HK$28310,HK$20000,HK$12000,HK$28750,HK$20000,HK$14000,50hours,45hours,40hours,50hours,44hours,40hours,14.5%,71.3%,16.0%,5.3%,4.8%,2.5%,(N.A.)–Not available,69.5%,16.2%,14.3%,2.7,53.8%,16.7%,29.5%,HK$45180,HK$25000,HK$10000,HK$45000,HK$25000,HK$10000,53.7,100.0%,0.0%,20.5%,39.7%,31.1%,8.7%,0.0%,3.26rooms,1.22rooms,55m²,49m²,40m²,21.5%,69.3%,6.4%,2.9%,HK$8400,18.0%,9years,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,81.3%,6.8%,12.0%,0.0%
Wong Tai Sin,Lok Fu,(Lok Fu) Wang Tau Hom Estate - Wang Cho House (Fu Mei Street 1990's)                                                                                                                                                                                          ,1385,854,6.1%,27.4%,44.2%,22.3%,53.7,47.0,48.4,31.3%,33.9%,93.6%,6.4%,0.0%,58.9%,37.7%,3.4%,29.6%,55.5%,14.9%,27.6%,33.1%,29.0%,24.1%,7.6%,6.2%,704,96.3%,0.0%,3.7%,681,17.0%,83.0%,0.0%,22.3%,38.4%,16.6%,22.7%,25.0%,41.1%,19.0%,14.9%,HK$19000,HK$12500,HK$9000,HK$20000,HK$13000,HK$10250,50hours,45hours,40hours,48hours,44hours,40hours,13.5%,68.5%,21.3%,5.2%,0.0%,5.0%,(N.A.)–Not available,61.6%,24.7%,13.7%,3.1,54.8%,34.5%,10.7%,HK$33710,HK$23880,HK$11500,HK$31560,HK$23880,HK$11500,58.0,98.3%,1.7%,19.9%,60.0%,15.1%,5.0%,0.0%,2.97rooms,0.96rooms,44m²,35m²,35m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$2200,9.3%,94.7%,2.8%,2.5%,0.0%
Wong Tai Sin,Lok Fu,(Lok Fu) Wang Tau Hom Estate - Wang Wai House (Fu Mei Street 1990's)                                                                                                                                                                                          ,1185,735,8.2%,26.0%,41.3%,24.6%,55.2,50.9,52.8,28.0%,36.7%,98.1%,1.9%,0.0%,57.0%,40.5%,2.4%,35.1%,48.3%,16.5%,37.7%,15.9%,44.9%,31.2%,0.0%,8.0%,604,85.9%,4.0%,10.1%,581,24.8%,75.2%,5.6%,32.6%,35.8%,13.9%,12.1%,28.6%,26.7%,27.8%,16.9%,HK$18500,HK$12000,HK$9500,HK$18500,HK$12000,HK$9500,50hours,43hours,40hours,50hours,43hours,40hours,13.0%,67.2%,22.3%,5.4%,2.7%,2.5%,(N.A.)–Not available,71.8%,15.8%,12.5%,2.7,57.9%,30.8%,11.3%,HK$29590,HK$20000,HK$11000,HK$29590,HK$20000,HK$11000,63.5,98.1%,1.9%,29.2%,54.4%,16.5%,0.0%,0.0%,2.85rooms,1.05rooms,44m²,35m²,35m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$2190,10.0%,80.8%,13.6%,5.5%,0.0%
Wong Tai Sin,Lok Fu,(Lok Fu) Wang Tau Hom Estate - Wang Lai House (Wang Tau Hom North Road 1990's)                                                                                                                                                                                ,1363,1053,9.5%,27.1%,43.1%,20.2%,51.1,44.8,48.9,42.0%,22.4%,98.7%,0.0%,1.3%,66.2%,28.3%,5.5%,31.3%,51.7%,17.0%,45.7%,19.1%,45.2%,14.6%,0.0%,21.1%,637,95.3%,0.0%,4.7%,726,30.2%,69.8%,1.7%,13.8%,41.4%,18.5%,24.5%,34.7%,30.1%,22.8%,12.4%,HK$17000,HK$13500,HK$8000,HK$17000,HK$14000,HK$10250,55hours,45hours,40hours,55hours,45hours,40hours,20.3%,61.0%,15.8%,7.3%,0.0%,16.0%,(N.A.)–Not available,69.4%,12.1%,18.6%,3.0,54.1%,26.8%,19.0%,HK$31500,HK$16960,HK$9760,HK$31500,HK$16500,HK$9760,64.2,100.0%,0.0%,24.6%,59.7%,13.9%,1.8%,0.0%,2.89rooms,0.95rooms,44m²,35m²,35m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$2150,11.0%,97.9%,0.0%,2.1%,0.0%
Wong Tai Sin,Lok Fu,(Lok Fu) Wang Tau Hom Estate - Wang Yiu House (Wang Tau Hom North Road 1990's)                                                                                                                                                                                ,1243,1196,7.7%,36.3%,36.2%,19.8%,45.5,47.6,45.7,37.3%,31.8%,96.2%,3.8%,0.0%,68.6%,29.7%,1.7%,25.0%,57.0%,18.0%,52.3%,29.4%,43.1%,9.2%,0.0%,18.3%,612,93.5%,0.0%,6.5%,631,15.8%,84.2%,0.0%,17.5%,37.7%,21.2%,23.5%,29.9%,32.0%,18.6%,19.4%,HK$15500,HK$12250,HK$10250,HK$15500,HK$12250,HK$10250,55hours,45hours,40hours,55hours,45hours,40hours,14.0%,71.0%,16.9%,7.9%,0.0%,4.2%,(N.A.)–Not available,73.8%,14.4%,11.8%,2.9,61.0%,26.7%,12.3%,HK$31500,HK$18460,HK$12290,HK$31500,HK$18460,HK$12290,61.2,100.0%,0.0%,14.4%,73.3%,12.3%,0.0%,0.0%,2.92rooms,1.01rooms,44m²,35m²,35m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$2250,10.2%,97.0%,0.0%,3.0%,0.0%
Wong Tai Sin,Lok Fu,(Lok Fu) Wang Tau Hom Estate - Wang Chiu / Wang Leung House (Fu Mei Street / Wang Tau Hom North Road 1990's)                                                                                                                                                  ,1592,1025,7.8%,31.0%,38.2%,23.0%,51.8,47.1,48.5,45.6%,33.8%,97.0%,1.9%,1.2%,57.2%,41.0%,1.8%,27.6%,49.0%,23.4%,49.2%,50.8%,23.8%,6.3%,4.8%,14.3%,742,98.7%,0.0%,1.3%,850,22.0%,78.0%,4.2%,19.9%,43.0%,13.5%,19.4%,36.4%,37.6%,15.0%,11.1%,HK$15500,HK$12750,HK$10250,HK$15500,HK$12750,HK$10250,49hours,45hours,40hours,49hours,45hours,40hours,25.5%,58.2%,13.1%,20.4%,6.7%,1.6%,(N.A.)–Not available,75.8%,15.6%,8.6%,2.6,63.3%,10.9%,25.8%,HK$28950,HK$17720,HK$10340,HK$28950,HK$17720,HK$10340,61.5,98.6%,1.4%,30.4%,44.8%,17.6%,7.2%,0.0%,2.85rooms,1.08rooms,37m²,31m²,23m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1400,6.6%,89.4%,5.2%,5.4%,0.0%
Wong Tai Sin,Lok Fu,(Lok Fu) Wang Tau Hom Estate - Wang Chung / Wang Hau House (Fu Mei Street / Wang Tau Hom North Road 1990's)                                                                                                                                                   ,1757,811,10.0%,28.4%,44.1%,17.5%,48.1,44.2,46.2,38.7%,32.2%,90.9%,9.1%,0.0%,55.6%,40.5%,3.9%,26.6%,57.9%,15.6%,45.8%,27.7%,46.1%,23.0%,0.0%,3.2%,826,90.1%,0.0%,9.9%,931,35.4%,64.6%,3.5%,11.1%,36.4%,23.1%,25.8%,25.9%,38.9%,21.5%,13.7%,HK$16000,HK$12000,HK$9750,HK$18000,HK$12000,HK$9750,55hours,48hours,40hours,55hours,45hours,40hours,28.6%,49.5%,21.5%,17.2%,6.7%,5.1%,(N.A.)–Not available,72.1%,22.0%,5.9%,2.7,61.0%,19.5%,19.5%,HK$27050,HK$16740,HK$11370,HK$26490,HK$16740,HK$11370,58.2,100.0%,0.0%,29.8%,49.3%,15.8%,5.1%,0.0%,2.80rooms,1.02rooms,37m²,32m²,30m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1570,8.7%,87.3%,0.0%,12.7%,0.0%
Wong Tai Sin,Lok Fu,(Lok Fu) Wang Tau Hom Estate - Wang Fai House (Fu Mei Street 1980's)                                                                                                                                                                                          ,1483,928,9.0%,33.9%,36.3%,20.8%,49.5,45.7,46.0,49.8%,26.2%,97.2%,2.8%,0.0%,59.1%,38.8%,2.1%,32.0%,47.4%,20.6%,23.5%,72.3%,4.6%,4.6%,8.8%,9.7%,705,87.8%,1.6%,10.6%,778,28.0%,72.0%,3.3%,18.2%,35.6%,19.3%,23.7%,28.7%,37.7%,19.9%,13.8%,HK$16000,HK$12250,HK$10000,HK$16000,HK$12750,HK$10250,50hours,45hours,42hours,50hours,45hours,40hours,18.7%,56.1%,19.6%,7.7%,4.3%,12.3%,(N.A.)–Not available,60.8%,30.7%,8.5%,3.1,61.4%,30.1%,8.5%,HK$29500,HK$19990,HK$12290,HK$29500,HK$19990,HK$12290,59.1,100.0%,0.0%,32.4%,57.7%,7.6%,2.3%,0.0%,2.68rooms,0.88rooms,36m²,35m²,35m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1380,9.8%,86.9%,5.4%,7.7%,0.0%
Wong Tai Sin,Lok Fu,(Lok Fu) Wang Tau Hom Estate - Wang Tak House (Wang Tau Hom East Road 1980's)                                                                                                                                                                                 ,1297,1085,7.0%,33.3%,43.6%,16.0%,47.5,50.1,49.9,44.9%,32.5%,99.0%,1.0%,0.0%,66.8%,32.2%,1.0%,29.9%,44.8%,25.3%,32.4%,43.9%,18.5%,6.9%,6.4%,24.3%,700,85.9%,0.0%,14.1%,597,27.8%,72.2%,1.1%,19.3%,37.6%,16.6%,25.4%,20.1%,50.0%,22.3%,7.6%,HK$16000,HK$12400,HK$9360,HK$16000,HK$12400,HK$9360,49hours,43hours,40hours,49hours,43hours,40hours,5.3%,73.8%,10.4%,5.3%,1.8%,8.6%,(N.A.)–Not available,56.7%,36.3%,7.0%,3.1,66.3%,26.9%,6.8%,HK$30000,HK$21950,HK$14500,HK$30000,HK$21950,HK$14500,63.2,100.0%,0.0%,13.3%,66.1%,20.6%,0.0%,0.0%,3.07rooms,0.98rooms,36m²,36m²,36m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1600,6.5%,92.0%,0.0%,8.0%,0.0%
Wong Tai Sin,Lok Fu,(Lok Fu) Wang Tau Hom Estate - Wang Yip / Wang Kei House (Wang Tau Hom East Road 1980's)                                                                                                                                                                      ,1575,1024,9.6%,31.9%,38.1%,20.4%,52.3,50.4,51.0,34.8%,32.3%,98.7%,0.6%,0.7%,73.4%,23.9%,2.7%,33.5%,51.8%,14.7%,61.9%,9.5%,61.9%,28.6%,0.0%,0.0%,843,88.8%,3.8%,7.4%,732,20.2%,79.8%,3.6%,17.7%,42.3%,15.4%,21.0%,25.9%,41.8%,14.4%,18.0%,HK$18600,HK$13000,HK$10000,HK$18600,HK$13800,HK$10250,54hours,45hours,42hours,54hours,45hours,41hours,14.2%,61.9%,18.7%,8.7%,2.8%,8.0%,(N.A.)–Not available,66.9%,25.6%,7.6%,2.9,56.0%,28.4%,15.7%,HK$32950,HK$23680,HK$15000,HK$32520,HK$23680,HK$15000,60.3,100.0%,0.0%,7.2%,57.1%,32.2%,3.5%,0.0%,3.32rooms,1.15rooms,38m²,37m²,34m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1630,7.4%,95.5%,2.4%,2.2%,0.0%
